qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.95727,0.19375,0.80564,0.812114,0.80625,1,0.907216,0.967033,0.93617,9,3,0.925,0.772152,0.765625,0.680851,0.787879,0.941176,0.990107,0.977125,0.0354156,0.72208,4,2,hist_gb
0.950414,0.203125,0.78914,0.789688,0.803125,0.99375,0.875,0.923077,0.898396,12,7,0.901235,0.78481,0.8125,0.708333,0.71875,0.8125,0.98377,0.966003,0.0492311,0.587707,0,0,xgboost
0.95763,0.178125,0.8016,0.797802,0.825,0.996875,0.958333,0.968421,0.963351,4,3,0.901235,0.871795,0.784615,0.791667,0.6875,0.75,0.993397,0.983425,0.0206004,0.50778,1,0,xgboost
0.943376,0.253125,0.744852,0.750181,0.746875,1,0.875,0.933333,0.903226,12,6,0.925926,0.602564,0.753846,0.625,0.78125,0.8125,0.989072,0.975485,0.0413916,0.678679,2,0,xgboost
0.950666,0.2125,0.797648,0.802092,0.790625,0.996875,0.9375,0.9,0.918367,6,10,0.8875,0.746835,0.738462,0.744681,0.757576,0.9375,0.990467,0.980089,0.0381001,0.52476,3,0,xgboost
0.950912,0.215625,0.786143,0.780364,0.784375,1,0.907216,0.926316,0.916667,9,7,0.9125,0.734177,0.71875,0.765957,0.727273,0.823529,0.986686,0.977624,0.034871,0.566218,4,0,xgboost
0.942738,0.240625,0.752241,0.767119,0.76875,0.990625,0.875,0.923077,0.898396,12,7,0.901235,0.78481,0.71875,0.604167,0.65625,0.9375,0.984282,0.971603,0.0455074,0.651949,0,1,xgboost
0.949275,0.2125,0.78766,0.787301,0.790625,0.996875,0.947917,0.947917,0.947917,5,5,0.851852,0.74359,0.784615,0.8125,0.71875,0.8125,0.994466,0.987296,0.027096,0.516862,1,1,xgboost
0.95546,0.19375,0.807043,0.803942,0.80625,1,0.927083,0.946809,0.936842,7,5,0.864198,0.794872,0.8,0.770833,0.71875,0.875,0.994373,0.987214,0.0281221,0.605971,2,1,xgboost
0.949174,0.2125,0.77653,0.766105,0.790625,0.996875,0.895833,0.966292,0.92973,10,3,0.95,0.696203,0.8,0.765957,0.69697,0.6875,0.987491,0.978407,0.0344924,0.555537,3,1,xgboost
